"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"卖出","NVDA","英伟达","175.41","100","17,541.00","全部成交","100@175.41","2026/02/06 04:29:49 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","175.41","17,541.00","2026/02/06 04:29:50 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"卖出","SNDK","闪迪","588.00","20","11,760.00","全部成交","20@588.00","2026/02/05 10:17:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","588.00","11,760.00","2026/02/05 10:42:20 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","587.01","20","11,740.20","全部成交","20@587.01","2026/02/05 10:10:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","587.01","11,740.20","2026/02/05 10:10:07 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖出","SNDK","闪迪","589.69","20","11,793.80","全部成交","20@589.69","2026/02/05 10:03:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","589.69","11,793.80","2026/02/05 10:06:23 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SNDK","闪迪","587.72","20","11,754.40","全部成交","20@587.72","2026/02/05 10:03:29 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","587.72","11,754.40","2026/02/05 10:03:30 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"买入","NVDA","英伟达","175.28","100","17,528.00","全部成交","100@175.22","2026/02/05 09:54:42 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","175.22","17,522.00","2026/02/05 09:54:43 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"买入","SQQQ","三倍做空纳指ETF-ProShares","73.11","100","7,311.00","已撤单","0@0.00","2026/02/05 08:11:38 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"卖出","ORCL","甲骨文","145.71","30","4,371.30","全部成交","30@145.71","2026/02/04 22:59:12 (美东)","限价单","当日有效","","全时段","","","美股","USD","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","0.99","1","0.12","","","","","0.06","","","","2.17"
"","","","","","","","","","","","","","","","","","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","","","","","","","","","","","",""
